-0.27072,-0.32925
-0.41357,-0.55891
-0.56873,-0.53417
-0.57443,-0.565
-0.051801,-0.58695
-0.26597,-0.6395
-0.26313,-0.37488
-0.56266,-0.47157
-0.65663,-0.78093
-0.61764,-0.67572
-0.2283,-0.50503
-0.59733,-0.8726
-0.37831,-0.29647
-0.52311,-0.47035
-0.53691,-0.67352
-0.38727,-0.60133
0.65503,-0.40366
1.2565,-0.34369
0.85379,-0.40385
1.0452,-0.58076
0.59583,-0.60184
1.1114,-0.79588
0.7717,-0.48859
0.72766,-0.39319
0.61665,-0.54431
0.93773,-0.25066
0.56518,-0.37143
0.50265,-0.39389
0.54008,-0.50766
0.4955,-0.56702
0.64595,-0.089021
0.88421,-0.18693
1.1406,-0.39435
0.50665,-0.42399
-0.65732,-0.26707
-0.49616,-0.043463
-0.47685,-0.14584
-0.90213,0.024353
-0.29661,-0.13692
-0.56747,-0.24089
-0.93553,0.136
-0.67693,0.00041519
-0.46738,-0.013235
-0.87568,0.01652
-0.73314,0.1974
-0.37262,-0.17932
-0.29958,0.27145
-0.82332,0.24288
-0.76789,-0.40713
-0.6133,0.13717
-0.79835,0.2615
0.53566,-0.072246
0.53938,0.11041
0.24834,-0.16275
0.51075,-0.18261
0.55008,-0.55782
0.20926,-0.347
0.69528,-0.32236
0.33616,-0.35957
0.64699,-0.29098
0.40622,-0.073012
0.56197,-0.36747
-1.0247,0.026099
-0.70887,-0.4507
-1.0824,-0.2595
-0.70372,-0.49923
-1.0557,-0.45994
-0.86035,0.11121
-0.90245,-0.098306
-0.63755,-0.45322
-0.92343,0.026335
-0.21172,-0.26073
-0.26132,0.077435
-0.69917,-0.26682
-0.82467,-0.4914
-0.4766,-0.09778
-0.52874,-0.38905
-0.33439,-0.42952
-0.47256,-0.43981
-0.6214,-0.26229
-0.53482,-0.24716
-0.54226,-0.29179
-0.75741,-0.36418
-0.70074,-0.57809
-0.57056,-0.76561
-0.69179,-0.32899
-0.77103,-0.21303
-0.73502,-0.4908
-0.74389,-0.74385
-1.0234,-0.7296
-0.68989,-0.49655
-0.69676,-0.3641
-0.83343,-0.66086
-1.1578,-0.3709
-0.96101,-0.35069
-0.81045,-0.53278
-0.59751,-0.78863
-0.9594,-0.23756
-0.72522,-0.4143
-0.54314,-0.29571
-0.83926,-0.19619
-0.57941,0.35212
-0.55894,0.23736
-0.49068,0.20001
-0.83879,0.32726
-0.17349,0.49468
-0.39595,0.40569
-0.57041,0.4176
-0.59251,0.40167
-0.50755,0.083085
-0.4542,0.16988
-0.5251,0.32414
-0.26997,0.6664
-0.6996,0.60151
-0.19956,0.25565
-0.70357,0.35199
-0.35482,0.32118
-0.25038,0.43629
-0.57734,0.15121
-0.023425,0.54896
-0.090082,0.43101
-0.12177,0.22443
-0.24865,0.46365
0.21,0.12532
0.026998,0.3512
-0.17887,0.34001
0.093296,0.45204
-0.043061,0.31787
-0.11154,0.41998
0.23733,0.23247
0.071617,0.12169
-0.32792,0.47947
-0.16485,0.40851
-0.20128,0.3907
-0.40711,0.41795
0.14371,0.025021
-0.20166,0.33903
-0.0048124,0.28516
0.33028,-0.46272
0.38204,-0.31921
0.12698,-0.30415
0.36165,-0.26674
0.28744,-0.17887
0.21796,0.069238
0.52061,-0.29044
